,times(seconds),x,y,z
2186,43.797060460730975,0.05169,1.01111,0.0
2187,43.81709571254284,0.05265,1.01124,0.0
2188,43.8371309643547,0.05347,1.01138,0.0
2189,43.85716621616656,0.0543,1.01131,0.0
2190,43.87720146797842,0.05504,1.01148,0.0
2191,43.897236719790286,0.05579,1.0117,0.0
2192,43.91727197160215,0.05579,1.0117,0.0
2193,43.93730722341401,0.05571,1.01187,0.0
2194,43.95734247522587,0.05544,1.01195,0.0
2195,43.977377727037734,0.05511,1.01193,0.0
2196,43.997412978849596,0.05467,1.01196,0.0
2197,44.01744823066146,0.05413,1.01188,0.0
2198,44.03748348247332,0.05357,1.0118,0.0
2199,44.05751873428518,0.05304,1.01154,0.0
2200,44.077553986097044,0.0528,1.01089,0.0
2201,44.097589237908906,0.05305,1.00948,0.0
2202,44.11762448972077,0.05408,1.00659,0.0
2203,44.13765974153263,0.05616,1.00158,0.0
2204,44.15769499334449,0.05843,0.99498,0.0
2205,44.177730245156354,0.0608,0.98607,0.0
2206,44.197765496968216,0.06232,0.97703,0.0
2207,44.21780074878008,0.0637,0.96765,0.0
2208,44.23783600059194,0.06482,0.95761,0.0
2209,44.2578712524038,0.06604,0.94778,0.0
2210,44.277906504215665,0.06733,0.93808,0.0
2211,44.29794175602753,0.06877,0.92859,0.0
2212,44.317977007839396,0.07017,0.9198,0.0
2213,44.33801225965126,0.07163,0.91213,0.0
2214,44.35804751146312,0.07317,0.90527,0.0
2215,44.37808276327498,0.07465,0.89896,0.0
2216,44.398118015086844,0.07597,0.89307,0.0
2217,44.418153266898706,0.0769,0.88708,0.0
2218,44.43818851871057,0.07757,0.88039,0.0
2219,44.45822377052243,0.07819,0.87295,0.0
2220,44.47825902233429,0.07876,0.8644,0.0
2221,44.498294274146154,0.07925,0.8555,0.0
2222,44.518329525958016,0.07974,0.84611,0.0
2223,44.53836477776988,0.08043,0.83649,0.0
2224,44.55840002958174,0.08131,0.82713,0.0
2225,44.5784352813936,0.0825,0.81786,0.0
2226,44.598470533205465,0.08379,0.80952,0.0
2227,44.61850578501733,0.08513,0.80196,0.0
2228,44.63854103682919,0.08662,0.79426,0.0
2229,44.65857628864105,0.0881,0.78696,0.0
2230,44.67861154045291,0.08925,0.77993,0.0
2231,44.698646792264775,0.09021,0.77202,0.0
2232,44.71868204407664,0.09112,0.76378,0.0
2233,44.7387172958885,0.09182,0.7549,0.0
2234,44.75875254770036,0.09251,0.74534,0.0
2235,44.77878779951222,0.09416,0.72571,0.0
2236,44.798823051324085,0.09503,0.71574,0.0
2237,44.81885830313595,0.09606,0.70585,0.0
2238,44.83889355494781,0.09725,0.69673,0.0
2239,44.85892880675967,0.09853,0.68747,0.0
2240,44.87896405857153,0.09993,0.67884,0.0
2241,44.8989993103834,0.10115,0.67045,0.0
2242,44.919034562195264,0.1024,0.66162,0.0
2243,44.93906981400713,0.10383,0.65299,0.0
2244,44.95910506581899,0.10496,0.6441,0.0
2245,44.97914031763085,0.10612,0.63458,0.0
2246,44.99917556944271,0.10709,0.62511,0.0
2247,45.019210821254575,0.10799,0.61504,0.0
2248,45.03924607306644,0.10901,0.60484,0.0
2249,45.0592813248783,0.11,0.59472,0.0
2250,45.07931657669016,0.11109,0.58437,0.0
2251,45.09935182850202,0.11217,0.57434,0.0
2252,45.119387080313885,0.11349,0.56479,0.0
2253,45.13942233212575,0.11476,0.55528,0.0
2254,45.15945758393761,0.11615,0.54593,0.0
2255,45.17949283574947,0.11753,0.53694,0.0
2256,45.19952808756133,0.11883,0.52778,0.0
2257,45.219563339373195,0.12019,0.5187,0.0
2258,45.23959859118506,0.1217,0.50899,0.0
2259,45.25963384299692,0.12297,0.49916,0.0
2260,45.27966909480878,0.12405,0.48932,0.0
2261,45.29970434662064,0.12514,0.47878,0.0
2262,45.319739598432506,0.12619,0.46856,0.0
2263,45.33977485024437,0.12721,0.45833,0.0
2264,45.35981010205623,0.12831,0.44822,0.0
2265,45.37984535386809,0.13096,0.42894,0.0
2266,45.399880605679954,0.13247,0.41947,0.0
2267,45.419915857491816,0.13397,0.40999,0.0
2268,45.43995110930368,0.13539,0.40009,0.0
2269,45.45998636111554,0.13683,0.39031,0.0
2270,45.4800216129274,0.13823,0.38042,0.0
2271,45.50005686473927,0.13954,0.37031,0.0
2272,45.52009211655113,0.14091,0.36015,0.0
2273,45.540127368362995,0.1423,0.34965,0.0
2274,45.56016262017486,0.14364,0.3396,0.0
2275,45.58019787198672,0.14487,0.32949,0.0
2276,45.60023312379858,0.14617,0.31933,0.0
2277,45.62026837561044,0.14753,0.3095,0.0
2278,45.640303627422306,0.1491,0.29963,0.0
2279,45.66033887923417,0.15059,0.28993,0.0
2280,45.68037413104603,0.15224,0.27985,0.0
2281,45.70040938285789,0.15382,0.26997,0.0
2282,45.720444634669754,0.15536,0.25993,0.0
2283,45.740479886481616,0.15705,0.24971,0.0
2284,45.76051513829348,0.15875,0.23943,0.0
2285,45.78055039010534,0.1602,0.22922,0.0
2286,45.8005856419172,0.16165,0.21878,0.0
2287,45.820620893729064,0.16289,0.2086,0.0
2288,45.840656145540926,0.16438,0.19828,0.0
2289,45.86069139735279,0.16573,0.18779,0.0
2290,45.88072664916465,0.16733,0.17751,0.0
2291,45.90076190097651,0.17048,0.15733,0.0
2292,45.920797152788374,0.17222,0.14707,0.0
2293,45.940832404600236,0.17391,0.13694,0.0
2294,45.9608676564121,0.17391,0.13694,0.0
2295,45.98090290822396,0.17724,0.11628,0.0
2296,46.00093816003582,0.17884,0.10605,0.0
2297,46.020973411847685,0.17884,0.10605,0.0
2298,46.04100866365955,0.18218,0.08516,0.0
2299,46.06104391547141,0.18362,0.07455,0.0
2300,46.08107916728327,0.18679,0.05364,0.0
2301,46.10111441909514,0.18844,0.0432,0.0
2302,46.121149670907,0.19012,0.0329,0.0
2303,46.141184922718864,0.19178,0.02268,0.0
2304,46.161220174530726,0.19341,0.01222,0.0
2305,46.18125542634259,0.19491,0.00175,0.0
2306,46.20129067815445,0.19644,-0.00868,0.0
2307,46.22132592996631,0.1981,-0.01895,0.0
2308,46.241361181778174,0.19969,-0.02948,0.0
2309,46.261396433590036,0.20113,-0.03974,0.0
2310,46.2814316854019,0.20251,-0.04977,0.0
2311,46.30146693721376,0.20374,-0.0595,0.0
2312,46.32150218902562,0.20503,-0.06817,0.0
2313,46.341537440837484,0.20615,-0.07565,0.0
2314,46.36157269264935,0.20718,-0.08256,0.0
2315,46.38160794446121,0.20831,-0.08843,0.0
2316,46.40164319627307,0.21032,-0.09947,0.0
2317,46.42167844808493,0.2112,-0.1055,0.0
2318,46.441713699896795,0.21196,-0.11125,0.0
2319,46.46174895170866,0.21276,-0.11735,0.0
2320,46.48178420352052,0.21361,-0.12421,0.0
2321,46.50181945533238,0.21433,-0.13121,0.0
2322,46.52185470714424,0.21472,-0.13773,0.0
2323,46.541889958956105,0.21517,-0.14376,0.0
2324,46.56192521076797,0.21569,-0.14914,0.0
2325,46.58196046257983,0.21625,-0.15351,0.0
2326,46.60199571439169,0.21669,-0.15666,0.0
2327,46.62203096620355,0.21708,-0.15876,0.0
2328,46.642066218015415,0.2173,-0.16059,0.0
2329,46.66210146982728,0.21747,-0.16209,0.0
2330,46.68213672163915,0.21765,-0.1634,0.0
2331,46.70217197345101,0.21793,-0.1648,0.0
2332,46.72220722526287,0.21816,-0.16609,0.0
